[2022-09-07T08:21:49.264613+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:21:49.313700+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:21:49.313770+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:24:24.302460+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-09-07T08:24:24.303769+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Selamat Datang di Krisna Beaute [] []
[2022-09-07T08:24:24.303812+02:00] KrisnaBeaute\BelajarPhpMvc\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-09-07T08:40:57.357060+02:00] KrisnaBeaute\BelajarPhpMvc\LevelTest.DEBUG: This is Debug [] []
[2022-09-07T09:28:23.636480+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-67 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636513+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-68 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636584+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-69 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636623+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-70 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636763+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-71 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636813+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-72 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636849+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-73 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636884+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-74 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636922+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-75 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636957+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-76 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.636991+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-77 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.637024+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-78 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
[2022-09-07T09:28:23.637058+02:00] KrisnaBeaute\BelajarPhpMvc\ResetTest.INFO: Perulangan ke-79 [] {"hostname":"NB7G","memory_usage":"4 MB","git":{"branch":"master","commit":"7dcf595d34996729b1d221e1a397dec0878ebc17"}}
